Posição,Município,UF,Quantidade
882,Pouso Novo,RS,2
883,Pratápolis,MG,2
884,Presidente Epitácio,SP,2
885,Presidente Juscelino,MG,2
886,Santa Cruz do Rio Pardo,SP,2
887,Presidente Olegário,MG,2
888,Primavera do Leste,MT,2
889,Quissamã,RJ,2
890,Salto,SP,2
891,Santa Rita de Caldas,MG,2
892,Recreio,MG,2
893,Registro,SP,2
894,Riachão do Jacuípe,BA,2
895,Rubinéia,SP,2
896,Rosário do Sul,RS,2
897,Ribeirão Vermelho,MG,2
898,Rio Bonito,RJ,2
899,Rio Branco,AC,2
900,Rio Casca,MG,2
901,Rosana,SP,2
902,Rio Paranaíba,MG,2
903,Rio Pardo,RS,2
904,Rio das Pedras,SP,2
905,Porto Belo,SC,2
906,Santa Rita de Jacutinga,MG,2
907,Paiva,MG,2
908,Santo Antônio do Aracanguá,SP,2
909,Sarandi,PR,2
910,Palmares do Sul,RS,2
911,Palmeira dos Índios,AL,2
912,Sapucaia do Sul,RS,2
913,Paragominas,PA,2
914,Paraíso do Tocantins,TO,2
915,Santo Antônio do Pinhal,SP,2
916,Parintins,AM,2
917,Parnamirim,RN,2
918,Santo Antônio do Grama,MG,2
919,Passa Quatro,MG,2
920,Patos,PB,2
921,Pedrinhas Paulista,SP,2
922,Pedro Gomes,MS,2
923,Pontal,SP,2
924,Santo Antônio de Jesus,BA,2
925,Perdizes,MG,2
926,Petrolina,PE,2
927,Piau,MG,2
928,Piaçabuçu,AL,2
929,Picada Café,RS,2
930,Piracema,MG,2
931,Pirajuba,MG,2
932,Santana da Vargem,MG,2
933,Piratininga,SP,2
934,Pirenópolis,GO,2
935,Pitanga,PR,2
936,Pompéu,MG,2
937,Manhumirim,MG,2
938,São João do Piauí,PI,2
939,Vera Cruz,RS,2
940,Ji-Paraná,RO,2
941,Jaboticabal,SP,2
942,Itatiba,SP,2
943,Lagoa Santa,MG,2
944,Joaquim Felício,MG,2
945,Várzea da Palma,MG,2
946,Wanderlândia,TO,2
947,Jesuânia,MG,2
948,Itambé,PR,2
949,Tumiritinga,MG,2
950,Xavantina,SC,2
951,Vila Boa,GO,2
952,Três Coroas,RS,2
953,Vilhena,RO,2
954,Jacutinga,MG,2
955,Lagoa Nova,RN,2
956,Jaborandi,SP,2
957,Tururu,CE,2
958,João Neiva,ES,2
959,Juazeiro,BA,2
960,Itirapuã,SP,2
961,Ladário,MS,2
962,Umirim,CE,2
